#threads,exec_time,speedup
1S,0.048853,1
1,0.046380,1.053320
2,0.041214,1.185349
3,0.027290,1.790142
4,0.026540,1.840730
5,0.023503,2.078585
6,0.023781,2.054287
7,0.026960,1.812054
8,0.029268,1.669160
