#threads,exec_time,speedup
1S,0.066349,1
1,0.064506,1.028570
2,0.059188,1.120987
3,0.040542,1.636549
4,0.038283,1.733119
5,0.035357,1.876544
6,0.041591,1.595273
7,0.043033,1.541816
8,0.038189,1.737385
