#threads,exec_time,speedup
1S,0.904980,1
1,0.893217,1.013169
2,0.487708,1.855577
3,0.415115,2.180070
4,0.410861,2.202642
5,0.418723,2.161285
6,0.451539,2.004212
7,0.458942,1.971883
8,0.476405,1.899602
9,0.487998,1.854474
10,0.527736,1.714834
