#threads,exec_time,speedup
1S,0.040699,1
1,0.039214,1.037869
2,0.035321,1.152260
3,0.018905,2.152816
4,0.020070,2.027852
5,0.020268,2.008042
6,0.024271,1.676857
7,0.022625,1.798850
8,0.020292,2.005667
