#threads,exec_time,speedup
1S,0.023916,1
1,0.016989,1.407734
2,0.012021,1.989518
3,0.014736,1.622964
4,0.015138,1.579865
5,0.012620,1.895087
6,0.012227,1.955999
7,0.011075,2.159458
8,0.012393,1.929799
