#threads,exec_time,speedup
1S,4.367470,1
1,4.394059,.993948
2,2.505928,1.742855
3,2.215441,1.971377
4,2.319357,1.883052
5,2.557283,1.707855
6,2.658199,1.643018
7,2.832119,1.542120
8,3.161979,1.381245
