#threads,exec_time,speedup
1S,0.020019,1
1,0.018663,1.072657
2,0.015222,1.315135
3,0.009349,2.141298
4,0.009189,2.178583
5,0.008979,2.229535
6,0.009397,2.130360
7,0.009784,2.046095
8,0.009561,2.093818
