#threads,exec_time,speedup
1S,0.032097,1
1,0.031809,1.009054
2,0.024925,1.287743
3,0.015648,2.051188
4,0.013456,2.385329
5,0.014601,2.198274
6,0.014377,2.232524
7,0.013227,2.426627
8,0.013834,2.320153
