#threads,exec_time,speedup
1S,7.776261,1
1,7.589425,1.024617
2,4.221463,1.842077
3,3.912838,1.987371
4,3.960519,1.963444
5,4.264139,1.823641
6,4.346469,1.789098
7,4.356857,1.784832
8,4.538772,1.713296
