#threads,exec_time,speedup
1S,0.493104,1
1,0.496614,.992932
2,0.325603,1.514433
3,0.310194,1.589663
4,0.285014,1.730104
5,0.306543,1.608596
6,0.326682,1.509431
7,0.343451,1.435733
8,0.393943,1.251714
